model,seed,variable,shap_importance,input_space,explanation_type,active_config,method,aggregation,shap_rank,n_eval,n_bg,eval_seed,bg_seed,shap_baseline,explainer,mse_scaled_check,checkpoint_path,shap_importance_std_across_seeds
MLP,42,HUFL,0.006449050318585915,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,2,100,100,42,42,train_mean_scaled,DeepExplainer,0.46949563302471436,checkpoints\bachelor_safe_v2\mlp_seed42.pt,
MLP,42,HULL,0.005047537161352729,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,4,100,100,42,42,train_mean_scaled,DeepExplainer,0.46949563302471436,checkpoints\bachelor_safe_v2\mlp_seed42.pt,
MLP,42,MUFL,0.006140387621169343,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,3,100,100,42,42,train_mean_scaled,DeepExplainer,0.46949563302471436,checkpoints\bachelor_safe_v2\mlp_seed42.pt,
MLP,42,MULL,0.004074511880888214,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,7,100,100,42,42,train_mean_scaled,DeepExplainer,0.46949563302471436,checkpoints\bachelor_safe_v2\mlp_seed42.pt,
MLP,42,LUFL,0.004406384987552878,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,6,100,100,42,42,train_mean_scaled,DeepExplainer,0.46949563302471436,checkpoints\bachelor_safe_v2\mlp_seed42.pt,
MLP,42,LULL,0.00465955821603556,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,5,100,100,42,42,train_mean_scaled,DeepExplainer,0.46949563302471436,checkpoints\bachelor_safe_v2\mlp_seed42.pt,
MLP,42,OT,0.007835992498545682,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,1,100,100,42,42,train_mean_scaled,DeepExplainer,0.46949563302471436,checkpoints\bachelor_safe_v2\mlp_seed42.pt,
MLP,123,HUFL,0.007517859878421665,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,2,100,100,42,42,train_mean_scaled,DeepExplainer,0.4989801842835985,checkpoints\bachelor_safe_v2\mlp_seed123.pt,
MLP,123,HULL,0.005583905342784252,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,4,100,100,42,42,train_mean_scaled,DeepExplainer,0.4989801842835985,checkpoints\bachelor_safe_v2\mlp_seed123.pt,
MLP,123,MUFL,0.007113199328798994,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,3,100,100,42,42,train_mean_scaled,DeepExplainer,0.4989801842835985,checkpoints\bachelor_safe_v2\mlp_seed123.pt,
MLP,123,MULL,0.004558434460381716,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,7,100,100,42,42,train_mean_scaled,DeepExplainer,0.4989801842835985,checkpoints\bachelor_safe_v2\mlp_seed123.pt,
MLP,123,LUFL,0.005052563516471669,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,6,100,100,42,42,train_mean_scaled,DeepExplainer,0.4989801842835985,checkpoints\bachelor_safe_v2\mlp_seed123.pt,
MLP,123,LULL,0.005407107777941161,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,5,100,100,42,42,train_mean_scaled,DeepExplainer,0.4989801842835985,checkpoints\bachelor_safe_v2\mlp_seed123.pt,
MLP,123,OT,0.009146602865402286,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,1,100,100,42,42,train_mean_scaled,DeepExplainer,0.4989801842835985,checkpoints\bachelor_safe_v2\mlp_seed123.pt,
MLP,456,HUFL,0.006500248459239315,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,2,100,100,42,42,train_mean_scaled,DeepExplainer,0.43882218156329206,checkpoints\bachelor_safe_v2\mlp_seed456.pt,
MLP,456,HULL,0.004969072168957203,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,4,100,100,42,42,train_mean_scaled,DeepExplainer,0.43882218156329206,checkpoints\bachelor_safe_v2\mlp_seed456.pt,
MLP,456,MUFL,0.006230163872790074,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,3,100,100,42,42,train_mean_scaled,DeepExplainer,0.43882218156329206,checkpoints\bachelor_safe_v2\mlp_seed456.pt,
MLP,456,MULL,0.004039666355117597,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,7,100,100,42,42,train_mean_scaled,DeepExplainer,0.43882218156329206,checkpoints\bachelor_safe_v2\mlp_seed456.pt,
MLP,456,LUFL,0.004168109675139744,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,6,100,100,42,42,train_mean_scaled,DeepExplainer,0.43882218156329206,checkpoints\bachelor_safe_v2\mlp_seed456.pt,
MLP,456,LULL,0.00452561143590452,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,5,100,100,42,42,train_mean_scaled,DeepExplainer,0.43882218156329206,checkpoints\bachelor_safe_v2\mlp_seed456.pt,
MLP,456,OT,0.007453679488470225,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,1,100,100,42,42,train_mean_scaled,DeepExplainer,0.43882218156329206,checkpoints\bachelor_safe_v2\mlp_seed456.pt,
MLP,789,HUFL,0.007642322014673613,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,2,100,100,42,42,train_mean_scaled,DeepExplainer,0.47169765273011055,checkpoints\bachelor_safe_v2\mlp_seed789.pt,
MLP,789,HULL,0.005602754863282513,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,4,100,100,42,42,train_mean_scaled,DeepExplainer,0.47169765273011055,checkpoints\bachelor_safe_v2\mlp_seed789.pt,
MLP,789,MUFL,0.0071309172095775685,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,3,100,100,42,42,train_mean_scaled,DeepExplainer,0.47169765273011055,checkpoints\bachelor_safe_v2\mlp_seed789.pt,
