model,seed,variable,shap_importance,input_space,explanation_type,active_config,is_true_shap,warning,num_background_windows_used,num_eval_windows_used,method,aggregation,shap_rank,eval_seed,bg_seed,shap_baseline,explainer,mse_scaled_check,checkpoint_path,shap_importance_std_across_seeds
LSTM,42,HUFL,0.005763346302676515,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,1,42,42,train_mean_scaled,GradientExplainer,0.5840596700130783,checkpoints\bachelor_safe_v2\lstm_seed42.pt,
LSTM,42,HULL,0.003411818097147956,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,4,42,42,train_mean_scaled,GradientExplainer,0.5840596700130783,checkpoints\bachelor_safe_v2\lstm_seed42.pt,
LSTM,42,MUFL,0.005053052047915896,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,2,42,42,train_mean_scaled,GradientExplainer,0.5840596700130783,checkpoints\bachelor_safe_v2\lstm_seed42.pt,
LSTM,42,MULL,0.0028243165225558964,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,7,42,42,train_mean_scaled,GradientExplainer,0.5840596700130783,checkpoints\bachelor_safe_v2\lstm_seed42.pt,
LSTM,42,LUFL,0.003156204316946776,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,6,42,42,train_mean_scaled,GradientExplainer,0.5840596700130783,checkpoints\bachelor_safe_v2\lstm_seed42.pt,
LSTM,42,LULL,0.0037707567716731105,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,3,42,42,train_mean_scaled,GradientExplainer,0.5840596700130783,checkpoints\bachelor_safe_v2\lstm_seed42.pt,
LSTM,42,OT,0.003254156500048081,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,5,42,42,train_mean_scaled,GradientExplainer,0.5840596700130783,checkpoints\bachelor_safe_v2\lstm_seed42.pt,
LSTM,123,HUFL,0.005271127033718174,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,2,42,42,train_mean_scaled,GradientExplainer,0.6239178362001502,checkpoints\bachelor_safe_v2\lstm_seed123.pt,
LSTM,123,HULL,0.003353375167532615,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,6,42,42,train_mean_scaled,GradientExplainer,0.6239178362001502,checkpoints\bachelor_safe_v2\lstm_seed123.pt,
LSTM,123,MUFL,0.005754614001670303,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,1,42,42,train_mean_scaled,GradientExplainer,0.6239178362001502,checkpoints\bachelor_safe_v2\lstm_seed123.pt,
LSTM,123,MULL,0.0029124429059865435,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,7,42,42,train_mean_scaled,GradientExplainer,0.6239178362001502,checkpoints\bachelor_safe_v2\lstm_seed123.pt,
LSTM,123,LUFL,0.0038050306889642806,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,4,42,42,train_mean_scaled,GradientExplainer,0.6239178362001502,checkpoints\bachelor_safe_v2\lstm_seed123.pt,
LSTM,123,LULL,0.0045647816535760374,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,3,42,42,train_mean_scaled,GradientExplainer,0.6239178362001502,checkpoints\bachelor_safe_v2\lstm_seed123.pt,
LSTM,123,OT,0.003791861039184268,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,5,42,42,train_mean_scaled,GradientExplainer,0.6239178362001502,checkpoints\bachelor_safe_v2\lstm_seed123.pt,
LSTM,456,HUFL,0.004344212676141049,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,3,42,42,train_mean_scaled,GradientExplainer,0.6943250658858143,checkpoints\bachelor_safe_v2\lstm_seed456.pt,
LSTM,456,HULL,0.003431726384168495,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,6,42,42,train_mean_scaled,GradientExplainer,0.6943250658858143,checkpoints\bachelor_safe_v2\lstm_seed456.pt,
LSTM,456,MUFL,0.007021329039371917,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,1,42,42,train_mean_scaled,GradientExplainer,0.6943250658858143,checkpoints\bachelor_safe_v2\lstm_seed456.pt,
LSTM,456,MULL,0.0036828938182004844,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,5,42,42,train_mean_scaled,GradientExplainer,0.6943250658858143,checkpoints\bachelor_safe_v2\lstm_seed456.pt,
LSTM,456,LUFL,0.0032153618257332586,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,7,42,42,train_mean_scaled,GradientExplainer,0.6943250658858143,checkpoints\bachelor_safe_v2\lstm_seed456.pt,
LSTM,456,LULL,0.004692812782977388,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,2,42,42,train_mean_scaled,GradientExplainer,0.6943250658858143,checkpoints\bachelor_safe_v2\lstm_seed456.pt,
